0.000000 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 
0.001000 	 1.000000 	 0.000333 	 0.000000 	 -0.000001 	 -0.005792 	 -52.129248 
0.002000 	 0.999999 	 0.000667 	 0.000000 	 -0.000000 	 -0.000384 	 -1.727527 
0.003000 	 0.999999 	 0.001000 	 0.000001 	 -0.000000 	 -0.000061 	 -0.182008 
0.004000 	 0.999997 	 0.001333 	 0.000001 	 0.000000 	 0.000011 	 0.024172 
0.005000 	 0.999996 	 0.001667 	 0.000002 	 -0.000000 	 -0.000004 	 -0.007515 
0.006000 	 0.999994 	 0.002000 	 0.000002 	 -0.000000 	 -0.000004 	 -0.006222 
0.007000 	 0.999992 	 0.002333 	 0.000003 	 -0.000000 	 -0.000008 	 -0.009900 
0.008000 	 0.999989 	 0.002667 	 0.000004 	 0.000000 	 -0.000002 	 -0.002492 
0.009000 	 0.999987 	 0.003000 	 0.000005 	 0.000000 	 0.000001 	 0.001470 
0.010000 	 0.999983 	 0.003333 	 0.000007 	 0.000000 	 -0.000000 	 -0.000309 
0.011000 	 0.999980 	 0.003667 	 0.000008 	 0.000000 	 0.000001 	 0.000616 
0.012000 	 0.999976 	 0.004000 	 0.000010 	 0.000000 	 0.000001 	 0.000429 
0.013000 	 0.999972 	 0.004333 	 0.000011 	 0.000000 	 0.000000 	 0.000299 
0.014000 	 0.999967 	 0.004667 	 0.000013 	 0.000000 	 -0.000000 	 -0.000195 
0.015000 	 0.999963 	 0.005000 	 0.000015 	 0.000000 	 0.000000 	 0.000053 
0.016000 	 0.999957 	 0.005333 	 0.000017 	 0.000000 	 0.000000 	 0.000128 
0.017000 	 0.999952 	 0.005667 	 0.000019 	 0.000000 	 -0.000000 	 -0.000053 
0.018000 	 0.999946 	 0.006000 	 0.000022 	 0.000000 	 -0.000000 	 -0.000002 
0.019000 	 0.999940 	 0.006333 	 0.000024 	 0.000000 	 0.000000 	 0.000023 
0.020000 	 0.999933 	 0.006666 	 0.000027 	 0.000000 	 0.000000 	 0.000022 
0.021000 	 0.999927 	 0.007000 	 0.000029 	 0.000000 	 -0.000000 	 -0.000003 
0.022000 	 0.999919 	 0.007333 	 0.000032 	 0.000000 	 -0.000000 	 -0.000009 
0.023000 	 0.999912 	 0.007666 	 0.000035 	 0.000000 	 -0.000000 	 -0.000003 
0.024000 	 0.999904 	 0.008000 	 0.000038 	 0.000000 	 -0.000000 	 -0.000011 
0.025000 	 0.999896 	 0.008333 	 0.000042 	 0.000000 	 -0.000000 	 -0.000006 
0.026000 	 0.999887 	 0.008666 	 0.000045 	 0.000000 	 -0.000000 	 -0.000005 
0.027000 	 0.999879 	 0.008999 	 0.000049 	 0.000000 	 -0.000000 	 -0.000005 
0.028000 	 0.999869 	 0.009333 	 0.000052 	 0.000000 	 0.000000 	 0.000002 
0.029000 	 0.999860 	 0.009666 	 0.000056 	 0.000000 	 -0.000000 	 -0.000001 
0.030000 	 0.999850 	 0.009999 	 0.000060 	 0.000000 	 -0.000000 	 -0.000003 
0.031000 	 0.999840 	 0.010332 	 0.000064 	 0.000000 	 0.000000 	 0.000000 
0.032000 	 0.999829 	 0.010666 	 0.000068 	 0.000000 	 0.000000 	 -0.000000 
0.033000 	 0.999819 	 0.010999 	 0.000073 	 0.000000 	 0.000000 	 0.000002 
0.034000 	 0.999807 	 0.011332 	 0.000077 	 0.000000 	 0.000000 	 0.000001 
0.035000 	 0.999796 	 0.011665 	 0.000082 	 0.000000 	 0.000000 	 -0.000000 
0.036000 	 0.999784 	 0.011998 	 0.000086 	 0.000000 	 -0.000000 	 -0.000002 
0.037000 	 0.999772 	 0.012332 	 0.000091 	 0.000000 	 0.000000 	 0.000001 
0.038000 	 0.999759 	 0.012665 	 0.000096 	 0.000001 	 -0.000000 	 -0.000001 
0.039000 	 0.999747 	 0.012998 	 0.000101 	 0.000001 	 -0.000000 	 -0.000001 
0.040000 	 0.999733 	 0.013331 	 0.000107 	 0.000001 	 0.000000 	 0.000000 
0.041000 	 0.999720 	 0.013664 	 0.000112 	 0.000001 	 0.000000 	 -0.000000 
0.042000 	 0.999706 	 0.013998 	 0.000118 	 0.000001 	 0.000000 	 -0.000000 
0.043000 	 0.999692 	 0.014331 	 0.000123 	 0.000001 	 0.000000 	 0.000000 
0.044000 	 0.999677 	 0.014664 	 0.000129 	 0.000001 	 0.000000 	 0.000000 
0.045000 	 0.999663 	 0.014997 	 0.000135 	 0.000001 	 0.000000 	 -0.000000 
0.046000 	 0.999647 	 0.015330 	 0.000141 	 0.000001 	 0.000000 	 0.000000 
0.047000 	 0.999632 	 0.015663 	 0.000147 	 0.000001 	 0.000000 	 -0.000000 
0.048000 	 0.999616 	 0.015996 	 0.000154 	 0.000001 	 0.000000 	 0.000000 
0.049000 	 0.999600 	 0.016329 	 0.000160 	 0.000001 	 0.000000 	 0.000000 
0.050000 	 0.999583 	 0.016663 	 0.000167 	 0.000001 	 0.000000 	 -0.000000 
